"Compound","tissue","conc_micromolar"
"a-ketoglutarate","skin",54.8788045938915
"a-ketoglutarate","soleus",80.3500784409565
"a-ketoglutarate","soleus",72.0186603110502
"a-ketoglutarate","soleus",64.1033795152982
"a-ketoglutarate","soleus",56.280251482891
"a-ketoglutarate","spleen",77.8386554673466
"a-ketoglutarate","spleen",80.3026001141478
"a-ketoglutarate","spleen",77.0792450266254
"a-ketoglutarate","spleen",65.9870044364314
"a-ketoglutarate","white adipose",35.2991485475588
"a-ketoglutarate","white adipose",39.7722130015789
"a-ketoglutarate","white adipose",36.2307837978352
"a-ketoglutarate","white adipose",37.2943971502896
"citrate/isocitrate","brown adipose",258.397123175136
"citrate/isocitrate","brown adipose",242.971756653805
"citrate/isocitrate","brown adipose",161.01282370394
"citrate/isocitrate","brown adipose",190.355419696659
"citrate/isocitrate","colon",415.011490751272
"citrate/isocitrate","colon",420.986869569672
"citrate/isocitrate","colon",397.429605795082
"citrate/isocitrate","colon",312.908691931664
"citrate/isocitrate","diaphragm",348.007634503305
"citrate/isocitrate","diaphragm",401.15539334856
"citrate/isocitrate","diaphragm",379.718883666694
"citrate/isocitrate","gastrocnemius",188.774475342112
"citrate/isocitrate","gastrocnemius",180.066617401985
"citrate/isocitrate","gastrocnemius",152.753442492244
"citrate/isocitrate","gastrocnemius",136.715268112889
"citrate/isocitrate","heart",369.668153539932
"citrate/isocitrate","heart",461.850661486663
"citrate/isocitrate","heart",271.675586542873
"citrate/isocitrate","heart",333.128115287089
"citrate/isocitrate","intestine",416.793008978612
"citrate/isocitrate","intestine",503.727971219942
"citrate/isocitrate","intestine",383.809886458083
"citrate/isocitrate","intestine",315.145650599228
"citrate/isocitrate","kidney",495.266942763086
"citrate/isocitrate","kidney",435.162258559263
"citrate/isocitrate","kidney",336.957692384582
"citrate/isocitrate","kidney",331.9663940814
"citrate/isocitrate","lung",454.458457975016
"citrate/isocitrate","lung",482.347313752801
"citrate/isocitrate","lung",352.136841043158
"citrate/isocitrate","lung",413.735279582953
"citrate/isocitrate","liver",388.107757937356
"citrate/isocitrate","liver",416.425507669771
"citrate/isocitrate","liver",362.237555962978
"citrate/isocitrate","liver",507.04198021003
"citrate/isocitrate","pancreas",453.389662680121
"citrate/isocitrate","pancreas",475.726472816328
"citrate/isocitrate","pancreas",495.009504997669
"citrate/isocitrate","pancreas",495.502318890703
"citrate/isocitrate","quad",198.078983624039
"citrate/isocitrate","quad",186.980967186457
"citrate/isocitrate","quad",165.989875922982
"citrate/isocitrate","quad",176.018246029199
"citrate/isocitrate","skin",271.00719226416
"citrate/isocitrate","skin",323.075056589094
"citrate/isocitrate","skin",262.656086495654
"citrate/isocitrate","skin",258.564037345433
"citrate/isocitrate","soleus",271.561848926749
"citrate/isocitrate","soleus",288.992067701784
"citrate/isocitrate","soleus",211.368937602234
"citrate/isocitrate","soleus",225.037246620585
"citrate/isocitrate","spleen",766.389558978585
"citrate/isocitrate","spleen",641.010691727836
"citrate/isocitrate","spleen",573.718208598015
"citrate/isocitrate","spleen",491.904834978485
"citrate/isocitrate","white adipose",135.236711625118
"citrate/isocitrate","white adipose",129.396075695221
"citrate/isocitrate","white adipose",113.99385338724
"citrate/isocitrate","white adipose",104.606827598419
"malate","brown adipose",132.667974437221
"malate","brown adipose",145.805640278798
"malate","brown adipose",100.006472303687
"malate","brown adipose",297.335551608122
"malate","colon",224.696043705268
"malate","colon",166.697048754653
"malate","colon",175.003072073298
"malate","colon",155.657822319816
"malate","diaphragm",453.837102285568
"malate","diaphragm",602.272615133201
"malate","diaphragm",332.115463349904
"malate","gastrocnemius",136.579562339721
"malate","gastrocnemius",195.573026057971
"malate","gastrocnemius",54.6906567019712
"malate","gastrocnemius",215.01457442581
"malate","heart",382.619775595977
"malate","heart",331.109053993497
"malate","heart",288.073576178769
"malate","heart",222.629812064576
"malate","intestine",260.693828709708
"malate","intestine",181.638466197822
"malate","intestine",129.416778345378
"malate","intestine",144.597245582498
"malate","kidney",234.550628006475
"malate","kidney",187.032811631636
"malate","kidney",141.707433535507
"malate","kidney",159.619104937466
"malate","lung",157.315548350678
"malate","lung",127.591229118264
"malate","lung",109.995510510793
"malate","lung",111.799428460554
"malate","liver",142.842066126854
"malate","liver",178.333130440528
"malate","liver",149.56355787775
"malate","liver",212.537984720422
"malate","pancreas",86.4179557846109
"malate","pancreas",128.268701300821
"malate","pancreas",76.8873227574382
"malate","pancreas",109.228413906015
"malate","quad",96.3503278175264
"malate","quad",106.284517677357
"malate","quad",97.7566486473029
"malate","quad",109.603796078825
"malate","skin",62.4618609882113
"malate","skin",69.7302103016003
"malate","skin",41.7740031780922
"malate","skin",62.5972800583893
"malate","soleus",296.889962176612
"malate","soleus",392.300005905647
"malate","soleus",224.079584123135
"malate","soleus",240.471933309773
"malate","spleen",133.131653082871
"malate","spleen",140.975637481658
"malate","spleen",136.116646189394
"malate","spleen",96.4754955175645
"malate","white adipose",13.3312692871711
"malate","white adipose",14.7986714060591
"malate","white adipose",11.5416546783831
"malate","white adipose",9.26842247432016
"succinate","brown adipose",878.574930242448
"succinate","brown adipose",938.19166092085
