"Compound","tissue","conc_micromolar"
"citrate/isocitrate","flankPDAC",73.0147456410281
"citrate/isocitrate","flankPDAC",115.109411642299
"citrate/isocitrate","flankPDAC",166.346454481004
"citrate/isocitrate","flankPDAC",74.5254416979854
"citrate/isocitrate","GEMMNSCLC",183.82733952108
"citrate/isocitrate","GEMMNSCLC",103.643260853392
"citrate/isocitrate","GEMMNSCLC",89.0585143518067
"citrate/isocitrate","flankNSCLC",228.82163125434
"citrate/isocitrate","flankNSCLC",521.115641601185
"citrate/isocitrate","flankNSCLC",84.8087426033351
"citrate/isocitrate","flankNSCLC",74.356315461278
"malate","xenograftCRC",96.3630875414782
"malate","xenograftCRC",124.309812354672
"malate","xenograftCRC",87.5028071921354
"malate","xenograftCRC",70.8856946688228
"malate","GEMMPDAC",75.5812542170933
"malate","GEMMPDAC",64.5813576314523
"malate","GEMMPDAC",202.485507024741
"malate","GEMMPDAC",115.094700748573
"malate","flankPDAC",100.344178160964
"malate","flankPDAC",143.746458039389
"malate","flankPDAC",61.1394517219785
"malate","flankPDAC",131.581421381771
"malate","GEMMNSCLC",208.792563997354
"malate","GEMMNSCLC",228.786974637605
"malate","GEMMNSCLC",196.416959536638
"malate","GEMMNSCLC",164.602253861789
"malate","flankNSCLC",143.066706518383
"malate","flankNSCLC",237.383395381089
"malate","flankNSCLC",98.8077680176172
"malate","flankNSCLC",136.230842093598
"succinate","xenograftCRC",124.712107121882
"succinate","xenograftCRC",66.7282762908908
"succinate","xenograftCRC",161.082157618957
"succinate","xenograftCRC",116.011360936884
"succinate","GEMMPDAC",109.856596127571
"succinate","GEMMPDAC",89.3414612411128
"succinate","GEMMPDAC",208.809155270527
"succinate","GEMMPDAC",128.839664734182
"succinate","flankPDAC",144.548878693933
"succinate","flankPDAC",176.669904107956
"succinate","flankPDAC",153.872918992047
"succinate","flankPDAC",186.130853596536
"succinate","GEMMNSCLC",204.491051162744
"succinate","GEMMNSCLC",174.862884172819
"succinate","GEMMNSCLC",192.140320030004
"succinate","GEMMNSCLC",174.649314589183
"succinate","flankNSCLC",199.706761555299
"succinate","flankNSCLC",375.061502167788
"succinate","flankNSCLC",142.844008496658
"succinate","flankNSCLC",175.65537421396
