"Compound","C_Label","fraction","tissue","time","omitFromFit"
"aspartate",1,0.112412487,"kidney",90,TRUE
"aspartate",2,0.059809059,"kidney",90,TRUE
"aspartate",3,0.016378929,"kidney",90,TRUE
"glutamate",1,0.075195843,"kidney",90,TRUE
"glutamate",2,0.065107312,"kidney",90,TRUE
"glutamate",3,0.015787538,"kidney",90,TRUE
"succinate",1,0.089123971,"kidney",90,TRUE
"succinate",2,0.064686707,"kidney",90,TRUE
"succinate",3,0.016709237,"kidney",90,TRUE
"malate",1,0.082937523,"kidney",90,TRUE
"malate",2,0.056961887,"kidney",90,TRUE
"malate",3,0.021569684,"kidney",90,TRUE
"aspartate",1,0.084645739,"kidney",90,TRUE
"aspartate",2,0.044267391,"kidney",90,TRUE
"aspartate",3,0.011084801,"kidney",90,TRUE
"glutamate",1,0.071633092,"liver",90,FALSE
"glutamate",2,0.07331099,"liver",90,FALSE
"glutamate",3,0.018167002,"liver",90,FALSE
"succinate",1,0.069667186,"liver",90,FALSE
"succinate",2,0.080595807,"liver",90,FALSE
"succinate",3,0.007788989,"liver",90,FALSE
"malate",1,0.086247097,"liver",90,FALSE
"malate",2,0.052722498,"liver",90,FALSE
"malate",3,0.022303589,"liver",90,FALSE
"aspartate",1,0.044252415,"liver",90,FALSE
"aspartate",2,0.01905078,"liver",90,FALSE
"aspartate",3,0.009541,"liver",90,FALSE
"glutamate",1,0.055112839,"liver",90,FALSE
"glutamate",2,0.062529156,"liver",90,FALSE
"glutamate",3,0.013203516,"liver",90,FALSE
"succinate",1,0.060464821,"liver",90,FALSE
"succinate",2,0.072860173,"liver",90,FALSE
"succinate",3,0.006027062,"liver",90,FALSE
"malate",1,0.072494214,"liver",90,FALSE
"malate",2,0.045301403,"liver",90,FALSE
"malate",3,0.021617125,"liver",90,FALSE
"aspartate",1,0.038612849,"liver",90,FALSE
"aspartate",2,0.017019117,"liver",90,FALSE
"aspartate",3,0.009275504,"liver",90,FALSE
"glutamate",1,0.029232405,"quad",90,FALSE
"glutamate",2,0.02746798,"quad",90,FALSE
"glutamate",3,0.004260649,"quad",90,FALSE
"succinate",1,0.035554183,"quad",90,FALSE
"succinate",2,0.020173307,"quad",90,FALSE
